"","name","n"
"1","Manchester 001B",4
"2","Manchester 002A",2
"3","Manchester 003C",1
"4","Manchester 005C",1
"5","Manchester 006B",4
"6","Manchester 006C",1
"7","Manchester 007A",1
"8","Manchester 008A",1
"9","Manchester 008D",3
"10","Manchester 009A",10
"11","Manchester 009B",3
"12","Manchester 009D",2
"13","Manchester 009F",3
"14","Manchester 009G",1
"15","Manchester 011A",2
"16","Manchester 011B",1
"17","Manchester 012B",5
"18","Manchester 013C",1
"19","Manchester 013D",1
"20","Manchester 013G",4
"21","Manchester 015C",2
"22","Manchester 015G",3
"23","Manchester 017A",8
"24","Manchester 017D",2
"25","Manchester 017E",3
"26","Manchester 017F",1
"27","Manchester 018A",1
"28","Manchester 018B",6
"29","Manchester 018D",4
"30","Manchester 018E",1
"31","Manchester 019A",2
"32","Manchester 019B",4
"33","Manchester 020C",1
"34","Manchester 020E",1
"35","Manchester 021E",5
"36","Manchester 022G",5
"37","Manchester 023A",1
"38","Manchester 023C",1
"39","Manchester 024A",2
"40","Manchester 024B",1
"41","Manchester 024D",1
"42","Manchester 025B",2
"43","Manchester 025C",5
"44","Manchester 025D",3
"45","Manchester 025E",4
"46","Manchester 026A",2
"47","Manchester 026C",2
"48","Manchester 026E",1
"49","Manchester 027D",2
"50","Manchester 028C",2
"51","Manchester 030C",1
"52","Manchester 031A",1
"53","Manchester 032E",1
"54","Manchester 033D",1
"55","Manchester 034A",1
"56","Manchester 034E",2
"57","Manchester 035E",5
"58","Manchester 036C",1
"59","Manchester 037A",3
"60","Manchester 037D",3
"61","Manchester 038D",3
"62","Manchester 041E",2
"63","Manchester 043A",2
"64","Manchester 048C",1
"65","Manchester 048D",1
"66","Manchester 048E",8
"67","Manchester 049B",2
"68","Manchester 049E",1
"69","Manchester 050C",1
"70","Manchester 051C",1
"71","Manchester 052E",2
"72","Manchester 053A",2
"73","Manchester 053D",1
"74","Manchester 054C",94
"75","Manchester 054D",5
"76","Manchester 054E",25
"77","Manchester 055B",79
"78","Manchester 055C",4
"79","Manchester 055D",1
"80","Manchester 055E",4
"81","Manchester 056D",4
"82","Manchester 057A",1
"83","Manchester 057B",5
"84","Manchester 057C",4
"85","Manchester 058A",4
"86","Manchester 058B",3
"87","Manchester 058C",6
"88","Manchester 059A",2
"89","Manchester 060A",12
"90","Manchester 060B",2
"91","Manchester 060C",3
"92","Manchester 060D",2
